REF_AREA_LABEL,REF_AREA,STRUCTURE,STRUCTURE_ID,ACTION,FREQ,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
Ireland,IRL,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
"Iran, Islamic Rep.",IRN,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Iraq,IRQ,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Iceland,ISL,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Israel,ISR,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Italy,ITA,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Jamaica,JAM,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Jordan,JOR,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Japan,JPN,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Kazakhstan,KAZ,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Kenya,KEN,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Kyrgyz Republic,KGZ,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Cambodia,KHM,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Kiribati,KIR,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
St. Kitts and Nevis,KNA,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
"Korea, Rep.",KOR,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Kuwait,KWT,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Lao PDR,LAO,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Lebanon,LBN,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Liberia,LBR,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Libya,LBY,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
St. Lucia,LCA,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Liechtenstein,LIE,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Sri Lanka,LKA,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Lesotho,LSO,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Lithuania,LTU,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Luxembourg,LUX,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Latvia,LVA,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
"Macao SAR, China",MAC,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Morocco,MAR,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Monaco,MCO,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Moldova,MDA,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Madagascar,MDG,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Maldives,MDV,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Mexico,MEX,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Marshall Islands,MHL,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
North Macedonia,MKD,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Mali,MLI,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Malta,MLT,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Myanmar,MMR,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Montenegro,MNE,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Mongolia,MNG,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Mozambique,MOZ,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Mauritania,MRT,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Mauritius,MUS,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Malawi,MWI,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Malaysia,MYS,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Namibia,NAM,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Niger,NER,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Nigeria,NGA,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Nicaragua,NIC,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Netherlands,NLD,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Norway,NOR,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Nepal,NPL,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Nauru,NRU,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
New Zealand,NZL,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Oman,OMN,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Pakistan,PAK,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Panama,PAN,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Peru,PER,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Philippines,PHL,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Palau,PLW,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Papua New Guinea,PNG,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
Poland,POL,datastructure,WBDATA360DS_DATA360,I,A,ID_DIG_RECS,_Z,_Z,_Z,CAT,_Z,_Z,_Z,2014,,_Z,NUMBER,0,WB_ID4D,602,0,O,PU,Annual,Digital data use,Not applicable,Not applicable,Not applicable,Categorical,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Missing value,Public
